id,createdDate,modifiedDate,latitude,longitude,gymAddress,gymName
101,2025-08-10T20:06:40.853759,2025-08-10T20:06:40.853759,37.4890590968177,126.997151687971,서울특별시 서초구 서초대로 137 (방배동", 신국빌딩 2층),마커스짐
102,2025-08-10T20:06:40.855911,2025-08-10T20:06:40.855911,37.4959645356639,127.026124445155,서울특별시 서초구 서초대로74길 14 (서초동", 삼성물산 서초사옥", 지하1층),삼성물산 서초사옥휘트니스
103,2025-08-10T20:06:40.857540,2025-08-10T20:06:40.857540,37.5029725833055,127.010131309177,서울특별시 서초구 고무래로 18-4 (반포동", 지하중2층", 지하2층", 지하3층),4TP fitness
104,2025-08-10T20:06:40.859254,2025-08-10T20:06:40.859254,37.4923165838485,127.028649677024,서울특별시 서초구 사임당로 174 (서초동", 강남미래타워B101호~B103호),MN휘트니스
105,2025-08-10T20:06:40.871785,2025-08-10T20:06:40.871785,37.4922714584052,127.016239918458,서울특별시 서초구 서초중앙로20길 38", 2층 (서초동", 동진빌딩),펠리체PT스튜디오
106,2025-08-10T20:06:40.874191,2025-08-10T20:06:40.874191,37.4993966257772,126.997378603669,서울특별시 서초구 사평대로22길 6", 2층 (반포동", 삼영빌딩),테라 짐
107,2025-08-10T20:06:40.877148,2025-08-10T20:06:40.877148,37.4966685867691,127.013848905206,서울특별시 서초구 서초중앙로28길 6", 4층 (서초동),HAVEN
108,2025-08-10T20:06:40.879430,2025-08-10T20:06:40.879430,37.4842297705628,127.010841544849,서울특별시 서초구 반포대로 43", 지층 (서초동),이동근 바디퍼포먼스
109,2025-08-10T20:06:40.881699,2025-08-10T20:06:40.881699,37.4901824983595,127.030641805543,서울특별시 서초구 강남대로 305", 지하1층 109호 (서초동", 현대렉시온),바디엔지니어
110,2025-08-10T20:06:40.883415,2025-08-10T20:06:40.883415,37.48110170648,126.995684117355,서울특별시 서초구 효령로 105", 3층 (방배동", 범창빌딩),대한퍼스널트레이너협회
111,2025-08-10T20:06:40.887462,2025-08-10T20:06:40.887462,37.5130659030087,127.01839938201,서울특별시 서초구 강남대로93길 38", 지하층 (잠원동", 영신빌딩),어메이짐(Amazym)
112,2025-08-10T20:06:40.889904,2025-08-10T20:06:40.889904,37.5082128473478,127.003658736923,서울특별시 서초구 잠원로3길 40", 지층 1호 (잠원동", 태남홀딩스),(주)잠원투엑스휘트니스
113,2025-08-10T20:06:40.893358,2025-08-10T20:06:40.893358,37.4934898858962,127.028606363309,서울특별시 서초구 서초대로78길 48", 5층 (서초동),더 스토리짐
114,2025-08-10T20:06:40.896115,2025-08-10T20:06:40.896115,37.4821828898894,127.038654574861,서울특별시 서초구 남부순환로356길 61", 2층 (양재동),달라짐
115,2025-08-10T20:06:40.897910,2025-08-10T20:06:40.897910,37.4837163548787,127.011991342452,서울특별시 서초구 반포대로 34", 지하1층 (서초동),휴메이크 휘트니스
116,2025-08-10T20:06:40.899632,2025-08-10T20:06:40.899632,37.4939069944418,127.028843765138,서울특별시 서초구 강남대로 349", 지하2층 (서초동", 우남빌딩),골든 크라운 크로스핏
117,2025-08-10T20:06:43.145700,2025-08-10T20:06:43.145700,37.4815260036299,127.01440169551,서울특별시 서초구 남부순환로325길 7", 지하1층 (서초동),H Core Fitness
118,2025-08-10T20:06:43.148024,2025-08-10T20:06:43.148024,37.5021095310863,127.010905425887,서울특별시 서초구 고무래로10길 5", 2층 (반포동),휴짐나지움
119,2025-08-10T20:06:43.149657,2025-08-10T20:06:43.149657,37.4891828159505,126.993061030072,서울특별시 서초구 방배로 174", 지하1층 (방배동", 태창빌딩),브랜뉴짐
120,2025-08-10T20:06:43.153113,2025-08-10T20:06:43.153113,37.4856438818842,127.029817043067,서울특별시 서초구 서운로 18", 지하1층 (서초동", 영진빌딩),올핏 운동헬스케어 매니지먼트
121,2025-08-10T20:06:43.158303,2025-08-10T20:06:43.158303,37.5081033115199,127.019756177739,서울특별시 서초구 사평대로53길 93-19 (반포동),719 studio
122,2025-08-10T20:06:43.161061,2025-08-10T20:06:43.161061,37.4827665443634,126.997121512739,서울특별시 서초구 방배로 94", 지하2층 (방배동),얼티밋 크로스핏 방배점
123,2025-08-10T20:06:43.163474,2025-08-10T20:06:43.163474,37.4872995571548,127.015269375886,서울특별시 서초구 서초중앙로 62", 지하1층 (서초동", 우일빌딩),제이짐(Jgym)
124,2025-08-10T20:06:43.166389,2025-08-10T20:06:43.166389,37.4721837852043,127.045411598788,서울특별시 서초구 동산로13길 6", 지하층 (양재동),헐크짐
125,2025-08-10T20:06:43.170967,2025-08-10T20:06:43.170967,37.4958491788929,127.014857118224,서울특별시 서초구 서초중앙로26길 13", B01호 (서초동),The Better GYM
126,2025-08-10T20:06:43.175391,2025-08-10T20:06:43.175391,37.4846431037844,126.99522746431,서울특별시 서초구 방배로 119", 지하1층 (방배동),SONO STUDIO
127,2025-08-10T20:06:43.177504,2025-08-10T20:06:43.177504,37.4896221390159,127.014111745008,서울특별시 서초구 서초중앙로 87 (서초동", 지하2층),진핏 PT 스튜디오
128,2025-08-10T20:06:43.180907,2025-08-10T20:06:43.180907,37.5096242399198,127.020098379288,서울특별시 서초구 사평대로55길 133 (반포동", 대영빌딩 2층 전체),레몬필라테스
129,2025-08-10T20:06:43.184958,2025-08-10T20:06:43.184958,37.5021563648911,127.012024373585,서울특별시 서초구 서초중앙로 230", 2층 205호 (반포동", 동화반포프라자빌딩),테디짐PT
130,2025-08-10T20:06:43.188241,2025-08-10T20:06:43.188241,37.5024402189894,127.023696439353,서울특별시 서초구 서초대로77길 61", 4층 (서초동", S&GTOWER서초),하우스필라테스
131,2025-08-10T20:06:43.190912,2025-08-10T20:06:43.190912,37.4887143289998,127.029849245333,서울특별시 서초구 남부순환로347길 101 (서초동", 지하1층),워너비
132,2025-08-10T20:06:43.192496,2025-08-10T20:06:43.192496,37.4974340616184,127.024516764632,서울특별시 서초구 서초대로 397", 2층 203-1호 (서초동),주식회사 블레스라이프 필라테스
133,2025-08-10T20:06:43.194085,2025-08-10T20:06:43.194085,37.5050804346935,127.023700440543,서울특별시 서초구 강남대로 479 (반포동),바디메이크업(256)
