업종,신고번호,상호,시설주소(지번),시설주소(도로명),시설면적(제곱미터),최초등록일자,최근변경일자
체력단련장업,30106-2021-000032,반포짐,서울특별시 서초구 서초동 1543-9 태홍빌딩 ,"서울특별시 서초구 반포대로 106, 태홍빌딩 지층 (서초동)",256,2021-12-10,
체력단련장업,30106-2021-000033,항구짐,서울특별시 서초구 잠원동 35-16 인정빌딩 ,"서울특별시 서초구 신반포로47길 47, 인정빌딩 (잠원동)",243,2021-12-17,2023-11-22
체력단련장업,30106-2021-000034,파프짐,서울특별시 서초구 서초동 1338-1 풍림아이원플러스 ,"서울특별시 서초구 효령로77길 14, 1층 (서초동, 풍림아이원플러스)",187.25,2021-12-23,
체력단련장업,30106-2021-000035,짐엑스텐,서울특별시 서초구 서초동 1580-11 동화빌딩 ,"서울특별시 서초구 사임당로 13, 동화빌딩 5층 (서초동)",183.16,2021-12-30,
체력단련장업,30106-2022-000001,에브리데이 PT,서울특별시 서초구 방배동 438-14 ,"서울특별시 서초구 동작대로 70, 6층 (방배동)",102.64,2022-02-08,
체력단련장업,30106-2022-000003,파인어스PT,서울특별시 서초구 양재동 82-9 가온 빌딩 ,"서울특별시 서초구 양재천로29길 21, 가온 빌딩 2층 (양재동)",139.4,2022-02-16,
체력단련장업,30106-2022-000004,유얼짐,서울특별시 서초구 서초동 1303-7 아멜리아 ,"서울특별시 서초구 사평대로56길 5, 아멜리아 지2층 (서초동)",183.2,2022-02-24,2022-05-03
체력단련장업,30106-2022-000005,(주)다이나믹케어,서울특별시 서초구 서초동 1337 강남미래타워 ,"서울특별시 서초구 사임당로 174, 강남미래타워 5층 503호 (서초동)",85.56,2022-02-24,
체력단련장업,30106-2022-000006,아틀라스 트레이닝(Atlas),서울특별시 서초구 방배동 924-13 근복제2빌딩 ,"서울특별시 서초구 방배로15길 3, 근복제2빌딩 2층 (방배동)",272.68,2022-03-03,2023-05-03
체력단련장업,30106-2022-000008,매일핏,서울특별시 서초구 반포동 719-3 ,"서울특별시 서초구 사평대로53길 93-19, 지층 (반포동)",121.57,2022-03-07,
체력단련장업,30106-2022-000010,F45 교대,서울특별시 서초구 서초동 1698-8 ,"서울특별시 서초구 서초대로51길 24, 3층 (서초동)",165.19,2022-03-07,
체력단련장업,30106-2022-000011,글로우짐,서울특별시 서초구 반포동 32-1 반포트라이엄프메딕스빌딩 ,"서울특별시 서초구 고무래로 32, 반포트라이엄프메딕스빌딩 지층 (반포동)",133.25,2022-03-21,
체력단련장업,30106-2022-000013,내셔널짐 서초점,서울특별시 서초구 서초동 1332-4 Cross 143 ,"서울특별시 서초구 사임당로 143, Cross 143 4층 407,408호 (서초동)",132.28,2022-04-21,
체력단련장업,30106-2022-000014,팀람다 트레이닝센터,서울특별시 서초구 서초동 1640-12 동구빌딩 ,"서울특별시 서초구 서초중앙로22길 92-4, 동구빌딩 지층 (서초동)",180.45,2022-04-25,
체력단련장업,30106-2022-000015,(주)엠알티핏,서울특별시 서초구 반포동 90-1 가나빌딩 ,"서울특별시 서초구 서래로6길 4, 가나빌딩 지하1층 (반포동)",188.33,2022-04-29,
체력단련장업,30106-2022-000016,테디짐PT 서초래미안,서울특별시 서초구 서초동 1682 서초래미안아파트 ,"서울특별시 서초구 서초대로65길 13-10, 2층 207호 (서초동, 서초래미안아파트)",55.48,2022-05-18,2024-03-25
체력단련장업,30106-2022-000017,클래시 휘트니스,서울특별시 서초구 서초동 1588-5 디아레나 서초 ,"서울특별시 서초구 효령로53길 24, 디아레나 서초 지층 101호 (서초동)",374.77,2022-05-23,
체력단련장업,30106-2022-000018,무브케어랩 퍼스널트레이닝,서울특별시 서초구 방배동 2257 다온빌딩 ,"서울특별시 서초구 동광로 4, 다온빌딩 3층 (방배동)",94.36,2022-06-22,
체력단련장업,30106-2022-000019,더 퍼스트 피티 스튜디오,서울특별시 서초구 서초동 1698-9 명산빌딩 ,"서울특별시 서초구 서초대로51길 22, 명산빌딩 2층 (서초동)",131,2022-06-27,
체력단련장업,30106-2022-000020,엑스(x)휘트니스,서울특별시 서초구 우면동 753 서초호반써밋 ,"서울특별시 서초구 양재대로2길 109, 상가동 2층 201호 (우면동, 서초호반써밋)",73.66,2022-06-28,
체력단련장업,30106-2022-000021,아라핏 스튜디오,서울특별시 서초구 서초동 1327-10 ,"서울특별시 서초구 서초대로78길 30, 3층 (서초동)",119.45,2022-06-29,
체력단련장업,30106-2022-000022,보리스짐 교대,서울특별시 서초구 서초동 1656-4 서초동롯데캐슬메디치 ,"서울특별시 서초구 서초중앙로 110, 지하1층 (서초동, 서초동롯데캐슬메디치)",378.91,2022-07-01,
체력단련장업,30106-2022-000023,펜타핏 주식회사,서울특별시 서초구 서초동 1329-4 우남빌딩 ,"서울특별시 서초구 강남대로 349, 우남빌딩 11층 (서초동)",73.76,2022-07-14,
체력단련장업,30106-2022-000024,크로스핏 강남 반포,서울특별시 서초구 방배동 755-14 리첸시아 ,"서울특별시 서초구 방배중앙로 204, 리첸시아 지하1층 (방배동)",287.8,2022-07-19,
체력단련장업,30106-2022-000025,바른자세 Pt짐,서울특별시 서초구 잠원동 73 신반포2지구아파트 ,"서울특별시 서초구 신반포로23길 41, 4층 404호 (잠원동, 신반포2지구아파트)",98.87,2022-07-21,2023-11-29
체력단련장업,30106-2022-000026,윌 피티 짐,서울특별시 서초구 방배동 876-20 희연(HEE YEON) ,"서울특별시 서초구 서초대로25길 6, 지하1층 (방배동, 희연(HEE YEON))",,2022-08-29,
체력단련장업,30106-2022-000027,아고라피트니스 강남역점,서울특별시 서초구 서초동 1327-35 호정빌딩 ,"서울특별시 서초구 서초대로78길 38, 호정빌딩 5층 (서초동)",,2022-08-29,
체력단련장업,30106-2022-000028,Hoya Gym,서울특별시 서초구 반포동 537-4 ,"서울특별시 서초구 서래로10길 23, 3층 (반포동)",,2022-09-08,
체력단련장업,30106-2022-000029,DOUM PT,서울특별시 서초구 반포동 742-18 연우빌딩 ,"서울특별시 서초구 주흥3길 6, 연우빌딩 3층 (반포동)",,2022-09-14,
체력단련장업,30106-2022-000030,활로 피트 매니지먼트,서울특별시 서초구 서초동 1443-15 윤일빌딩 ,"서울특별시 서초구 효령로 336, 윤일빌딩 지하1층 (서초동)",,2022-09-21,
체력단련장업,30106-2022-000031,The rebody PT,서울특별시 서초구 서초동 1555-6 ,"서울특별시 서초구 서초대로46길 19-7, 지하1층 (서초동)",,2022-09-22,
체력단련장업,30106-2022-000032,주식회사중평알앤에스,서울특별시 서초구 우면동 64-1 중평빌딩 ,"서울특별시 서초구 바우뫼로7길 3, 중평빌딩 지하1층 (우면동)",202.5,2022-09-29,
체력단련장업,30106-2022-000033,BEEFIT STUDIO,서울특별시 서초구 우면동 2-9 태성빌딩 ,"서울특별시 서초구 바우뫼로6길 8-4, 2층 (우면동)",66,2022-10-19,
체력단련장업,30106-2022-000034,마이밸런스 프라이빗 PT짐 서초점,서울특별시 서초구 서초동 1425-9 효봉빌딩 ,"서울특별시 서초구 남부순환로333길 13, 효봉빌딩 2층 (서초동)",181.82,2022-11-08,2024-01-09
체력단련장업,30106-2022-000035,크레이지독스짐,서울특별시 서초구 방배동 909-11 나이스빌 ,"서울특별시 서초구 효령로31길 10, 나이스빌 (방배동)",269.46,2022-11-18,2023-12-04
체력단련장업,30106-2022-000036,랜드마크짐,서울특별시 서초구 방배동 807-3 다빈빌딩 ,"서울특별시 서초구 동광로 92, 지하1층 (방배동)",368.49,2022-11-21,
체력단련장업,30106-2022-000037,YJ FITNESS,서울특별시 서초구 잠원동 28-3 신원빌라 ,"서울특별시 서초구 강남대로95길 9-25, 지하1, 1층 (잠원동)",216,2022-12-07,
체력단련장업,30106-2022-000038,리메이크바디샵 서초,서울특별시 서초구 서초동 1538-1 ,"서울특별시 서초구 서초대로40길 77, 201,202호 (서초동)",106.44,2022-12-14,
체력단련장업,30106-2022-000039,텐핏 양재,서울특별시 서초구 서초동 1361-1 ,"서울특별시 서초구 강남대로 267, B1층 (서초동)",131.01,2022-12-22,2023-12-18
체력단련장업,30106-2022-000040,하이라이트 피트니스,서울특별시 서초구 서초동 1330-4 아르누보씨티2 ,"서울특별시 서초구 서초대로74길 49, B1층 (서초동)",383.11,2022-12-23,
체력단련장업,30106-2023-000001,바른결 PT,서울특별시 서초구 서초동 1445-4 래미안 서초유니빌 ,"서울특별시 서초구 서초중앙로 26, 201호 (서초동, 래미안 서초유니빌)",136.43,2023-01-05,2023-01-12
체력단련장업,30106-2023-000002,어메이징휘트니스 반포점,서울특별시 서초구 반포동 50-12 지지반포빌딩 ,"서울특별시 서초구 서초중앙로31길 6-3, 지하2층 (반포동)",998.26,2023-01-12,
